u,v,X,Y
184.557,123.002,30.2,10.05
225.249,122.991,30.2,7.2
265.756,123.549,30.2,4.35
305.938,123.508,30.2,1.5
346.371,123.894,30.2,-1.35
386.301,123.601,30.2,-4.2
426.692,123.911,30.2,-7.05
466.865,124.331,30.2,-9.9
174.214,141.947,27.35,10.05
217.575,141.636,27.35,7.2
261.146,142.046,27.35,4.35
304.616,142.23,27.35,1.5
347.869,142.802,27.35,-1.35
391.085,143.047,27.35,-4.2
434.556,142.226,27.35,-7.05
478.124,142.555,27.35,-9.9
160.88,164.167,24.5,10.05
208.741,164.069,24.5,7.2
255.969,164.396,24.5,4.35
302.901,164.662,24.5,1.5
349.813,165.132,24.5,-1.35
396.62,164.59,24.5,-4.2
443.679,164.398,24.5,-7.05
491.016,163.479,24.5,-9.9
147.142,188.866,21.65,10.05
198.051,190.003,21.65,7.2
249.854,190.424,21.65,4.35
301.045,190.502,21.65,1.5
352.042,190.296,21.65,-1.35
403.15,190.371,21.65,-4.2
454.415,189.907,21.65,-7.05
505.906,188.883,21.65,-9.9
128.231,219.643,18.8,10.05
185.981,219.889,18.8,7.2
242.479,219.964,18.8,4.35
298.71,220.221,18.8,1.5
354.852,220.249,18.8,-1.35
411.066,220.64,18.8,-4.2
467.441,220.574,18.8,-7.05
524.097,219.74,18.8,-9.9
107.601,257.727,15.95,10.05
170.268,258.253,15.95,7.2
233.344,258.379,15.95,4.35
295.88,258.45,15.95,1.5
358.291,258.734,15.95,-1.35
420.743,258.232,15.95,-4.2
483.637,257.583,15.95,-7.05
545.911,256.899,15.95,-9.9
134.983,58.892,44.25,19.95
163.346,59.993,44.25,17.1
194.276,59.9358,44.25,14.25
224.273,59.9024,44.25,11.4
253.87,60.91,44.25,8.55
283.576,60.7586,44.25,5.7
313.597,61.5621,44.25,2.85
343.614,61.8654,44.25,0
121.673,69.1169,41.4,19.95
154.709,68.8135,41.4,17.1
185.415,69.941,41.4,14.25
217.39,70.1673,41.4,11.4
248.865,71.0361,41.4,8.55
280.548,71.3092,41.4,5.7
312.034,71.6083,41.4,2.85
343.854,72.2074,41.4,0
110.67,79.6278,38.55,19.95
141.671,81.07,38.55,17.1
176.986,80.894,38.55,14.25
210.307,81.2638,38.55,11.4
243.695,81.9646,38.55,8.55
276.925,82.1755,38.55,5.7
310.433,82.8485,38.55,2.85
344.012,82.977,38.55,0
94.568,92.2488,35.7,19.95
131.279,92.7512,35.7,17.1
166.521,93.5956,35.7,14.25
202.318,93.7873,35.7,11.4
237.547,93.8587,35.7,8.55
272.932,94.3216,35.7,5.7
308.53,94.6312,35.7,2.85
344.322,94.9349,35.7,0
79.5781,105.618,32.85,19.95
116.295,107.301,32.85,17.1
155.902,106.999,32.85,14.25
192.78,107.571,32.85,11.4
230.602,107.552,32.85,8.55
268.38,108.02,32.85,5.7
306.465,108.446,32.85,2.85
344.634,108.736,32.85,0
57.7191,124.537,30,19.95
101.481,123.205,30,17.1
142.371,123.387,30,14.25
182.592,123.728,30,11.4
222.86,125.076,30,8.55
263.356,124.706,30,5.7
304.069,124.874,30,2.85
344.984,125.616,30,0
