a_cm,b_cm,x_px,y_px
0,7.9,326,359
0,9.3,320,323
0,10.9,319,288
0,12.7,319,252
0,15,318,217
0,17.5,316,181
0,20.4,316,146
0,24.6,316,110
0,29.4,315,75
0,35.2,315,40
5,7.9,164,359
5,9.3,169,323
5,10.8,179,288
5,12.7,190,252
5,15,199,217
5,17.5,209,181
5,20.4,219,146
5,24.4,229,110
5,31.3,239,75
5,37.1,249,40
10,7.8,14,359
10,9.2,35,323
10,10.9,54,288
10,12.9,75,252
10,15,95,217
10,17.5,114,181
10,20.4,133,146
10,24.4,153,110
10,29,172,75
10,36.2,191,40
15,17.5,11,175
15,20.7,39,141
15,24.4,68,107
15,29.5,97,73
15,35.2,125,40
